loan_id,disbursement_id,customer_id,source_system,transaction_date,accounting_date,disbursement_amount,interest_rate,term_months,loan_status,region
LN000087,DISB20260306000087,CUST000012,internal_core,2026-03-06,2026-03-06,20000,0.0759,18,active,CA
LN000088,DISB20260123000088,CUST000047,internal_core,2026-01-23,2026-01-23,20000,0.1751,18,active,FL
LN000089,DISB20260219000089,CUST000038,internal_core,2026-02-19,2026-02-19,30000,0.1599,18,active,NY
LN000090,DISB20260207000090,CUST000052,internal_core,2026-02-07,2026-02-07,15000,0.1136,12,active,CA
LN000091,DISB20260129000091,CUST000005,partner_platform,2026-01-29,2026-01-28,5000,0.1486,24,active,WA
LN000092,DISB20260106000092,CUST000034,partner_platform,2026-01-06,2026-01-06,20000,0.0976,18,active,TX
LN000093,DISB20260224000093,CUST000023,partner_platform,2026-02-24,2026-02-24,10000,0.085,24,active,FL
LN000094,DISB20260125000094,CUST000056,internal_core,2026-01-25,2026-01-25,10000,0.1527,12,active,NY
LN000095,DISB20260119000095,CUST000051,partner_platform,2026-01-19,2026-01-19,8000,0.1101,36,active,WA
LN000096,DISB20260101000096,CUST000070,internal_core,2026-01-01,2026-01-01,15000,0.0971,12,active,NY
LN000097,DISB20260127000097,CUST000045,internal_core,2026-01-27,2026-01-26,5000,0.1466,18,active,WA
LN000098,DISB20260205000098,CUST000026,internal_core,2026-02-05,2026-02-05,5000,0.1675,24,active,NY
LN000099,DISB20260328000099,CUST000028,partner_platform,2026-03-28,2026-03-28,8000,0.1945,18,active,TX
LN000100,DISB20260103000100,CUST000007,internal_core,2026-01-03,2026-01-03,30000,0.1949,24,active,NY
