transfer_id,loan_id,transfer_date,transfer_type,face_value,transfer_price,discount_rate,counterparty
TRF000031,LN000139,2025-04-30,ABS,8000.0,7188.8,0.1014,Goldman Sachs ABS Trust
TRF000032,LN000150,2026-02-07,NPL,7623.17,1687.77,0.7786,Lone Star Funds
TRF000033,LN000158,2026-04-07,NPL,12348.02,1562.02,0.8735,Lone Star Funds
TRF000034,LN000172,2026-03-11,NPL,5484.11,1376.51,0.749,Lone Star Funds
TRF000035,LN000174,2025-05-13,ABS,10000.0,8645.0,0.1355,JP Morgan Securitization
TRF000036,LN000175,2025-10-28,NPL,8387.62,1903.15,0.7731,Lone Star Funds
TRF000037,LN000177,2025-11-12,NPL,19250.08,3251.34,0.8311,Cerberus Capital
TRF000038,LN000188,2026-03-27,NPL,10300.14,2807.82,0.7274,Cerberus Capital
TRF000039,LN000189,2026-02-21,NPL,6235.8,1035.77,0.8339,CarVal Investors
TRF000040,LN000196,2026-05-18,NPL,24529.85,2484.87,0.8987,Cerberus Capital
TRF000041,LN000202,2025-10-26,NPL,4780.22,1278.23,0.7326,Cerberus Capital
TRF000042,LN000207,2025-12-03,NPL,8349.58,2128.31,0.7451,Lone Star Funds
TRF000043,LN000210,2026-05-30,NPL,6302.85,1729.5,0.7256,Cerberus Capital
TRF000044,LN000211,2025-11-12,NPL,20163.98,5456.37,0.7294,Lone Star Funds
TRF000045,LN000214,2026-03-11,NPL,10198.32,1541.99,0.8488,Lone Star Funds
TRF000046,LN000217,2026-02-05,NPL,15934.3,3946.93,0.7523,Lone Star Funds
TRF000047,LN000222,2026-01-19,NPL,6094.08,1011.01,0.8341,Lone Star Funds
TRF000048,LN000223,2026-06-01,NPL,10168.2,2934.54,0.7114,Cerberus Capital
TRF000049,LN000224,2026-03-22,NPL,3401.43,742.53,0.7817,Lone Star Funds
TRF000050,LN000235,2026-06-15,NPL,5424.63,966.13,0.8219,Cerberus Capital
TRF000051,LN000240,2026-03-29,NPL,7386.95,1267.6,0.8284,CarVal Investors
TRF000052,LN000253,2025-06-22,ABS,15000.0,12648.0,0.1568,Goldman Sachs ABS Trust
TRF000053,LN000254,2025-08-27,ABS,8000.0,6522.4,0.1847,JP Morgan Securitization
TRF000054,LN000256,2026-01-27,NPL,5754.48,1309.72,0.7724,Cerberus Capital
TRF000055,LN000260,2026-02-06,NPL,4271.47,715.9,0.8324,CarVal Investors
TRF000056,LN000268,2025-12-05,NPL,4580.67,1127.3,0.7539,Lone Star Funds
TRF000057,LN000272,2026-04-10,NPL,6083.65,960.61,0.8421,CarVal Investors
TRF000058,LN000282,2025-11-22,NPL,9961.92,1570.99,0.8423,CarVal Investors
TRF000059,LN000294,2025-06-21,ABS,15000.0,14170.5,0.0553,JP Morgan Securitization
TRF000060,LN000296,2025-08-22,ABS,5000.0,4221.5,0.1557,JP Morgan Securitization
TRF000061,LN000301,2026-03-31,NPL,22895.52,2497.9,0.8909,CarVal Investors
TRF000062,LN000309,2025-12-23,NPL,10123.69,2016.64,0.8008,Lone Star Funds
TRF000063,LN000323,2025-12-13,NPL,5041.68,1262.94,0.7495,CarVal Investors
TRF000064,LN000329,2026-06-08,NPL,15312.68,3805.2,0.7515,Cerberus Capital
TRF000065,LN000331,2026-04-23,NPL,6174.4,1307.12,0.7883,Lone Star Funds
TRF000066,LN000334,2025-07-05,ABS,30000.0,26280.0,0.124,Goldman Sachs ABS Trust
TRF000067,LN000340,2026-03-02,NPL,10752.99,2883.95,0.7318,CarVal Investors
TRF000068,LN000344,2026-07-09,NPL,21416.91,5585.53,0.7392,Cerberus Capital
TRF000069,LN000346,2026-04-16,NPL,21428.5,3059.99,0.8572,CarVal Investors
TRF000070,LN000356,2025-08-25,ABS,5000.0,4188.0,0.1624,JP Morgan Securitization
TRF000071,LN000357,2026-05-17,NPL,12110.95,1328.57,0.8903,Lone Star Funds
TRF000072,LN000359,2026-01-09,NPL,28538.06,6695.03,0.7654,Cerberus Capital
TRF000073,LN000370,2025-08-11,ABS,20000.0,18646.0,0.0677,JP Morgan Securitization
TRF000074,LN000381,2026-05-15,NPL,5937.58,861.54,0.8549,Lone Star Funds
TRF000075,LN000389,2025-08-12,ABS,30000.0,25470.0,0.151,Goldman Sachs ABS Trust
TRF000076,LN000394,2026-03-14,NPL,26486.79,5239.09,0.8022,Cerberus Capital
TRF000077,LN000404,2026-02-05,NPL,15207.5,1584.62,0.8958,Lone Star Funds
TRF000078,LN000411,2026-01-25,NPL,30124.41,7094.3,0.7645,Cerberus Capital
TRF000079,LN000416,2026-05-16,NPL,3820.65,546.35,0.857,Lone Star Funds
TRF000080,LN000418,2026-02-25,NPL,6184.56,1158.99,0.8126,CarVal Investors
TRF000081,LN000421,2026-04-07,NPL,6938.62,1328.05,0.8086,Lone Star Funds
TRF000082,LN000427,2026-01-14,NPL,14427.72,3075.99,0.7868,Cerberus Capital
TRF000083,LN000428,2025-12-28,NPL,29368.89,5944.26,0.7976,Cerberus Capital
TRF000084,LN000442,2025-12-22,NPL,10005.0,1473.74,0.8527,Cerberus Capital
TRF000085,LN000451,2026-04-22,NPL,4062.81,1146.93,0.7177,CarVal Investors
TRF000086,LN000458,2026-03-07,NPL,12002.72,2315.32,0.8071,Cerberus Capital
TRF000087,LN000462,2025-09-29,ABS,5000.0,4355.0,0.129,JP Morgan Securitization
TRF000088,LN000468,2026-04-29,NPL,21499.91,2749.84,0.8721,CarVal Investors
TRF000089,LN000469,2026-02-23,NPL,15821.35,3985.4,0.7481,Cerberus Capital
TRF000090,LN000476,2026-06-10,NPL,5430.41,1188.17,0.7812,CarVal Investors
TRF000091,LN000489,2026-01-15,NPL,9830.7,2034.95,0.793,Lone Star Funds
TRF000092,LN000495,2025-10-29,ABS,15000.0,12382.5,0.1745,Goldman Sachs ABS Trust
TRF000093,LN000502,2026-05-12,NPL,3558.83,934.55,0.7374,CarVal Investors
TRF000094,LN000510,2026-03-02,NPL,4847.4,564.72,0.8835,Lone Star Funds
TRF000095,LN000527,2026-06-10,NPL,6913.75,707.28,0.8977,Cerberus Capital
TRF000096,LN000534,2025-09-23,ABS,15000.0,12484.5,0.1677,Goldman Sachs ABS Trust
TRF000097,LN000542,2026-04-29,NPL,15720.63,3386.22,0.7846,Cerberus Capital
TRF000098,LN000545,2026-03-12,NPL,7221.95,1789.6,0.7522,CarVal Investors
TRF000099,LN000549,2026-06-11,NPL,16090.22,3953.37,0.7543,CarVal Investors
TRF000100,LN000559,2026-06-23,NPL,4013.36,789.03,0.8034,Cerberus Capital
TRF000101,LN000564,2026-03-25,NPL,4835.92,717.65,0.8516,Lone Star Funds
TRF000102,LN000566,2026-05-30,NPL,11905.41,1372.69,0.8847,CarVal Investors
TRF000103,LN000571,2026-02-11,NPL,9592.02,2530.37,0.7362,Lone Star Funds
TRF000104,LN000578,2026-03-27,NPL,22674.37,3768.48,0.8338,Cerberus Capital
TRF000105,LN000583,2025-10-21,ABS,20000.0,17090.0,0.1455,Goldman Sachs ABS Trust
TRF000106,LN000586,2026-05-31,NPL,13826.53,3643.29,0.7365,CarVal Investors
TRF000107,LN000615,2026-04-06,NPL,17747.62,4493.7,0.7468,Lone Star Funds
TRF000108,LN000621,2026-03-25,NPL,9370.09,2810.09,0.7001,Lone Star Funds
TRF000109,LN000625,2026-04-14,NPL,18501.98,4211.05,0.7724,Lone Star Funds
TRF000110,LN000628,2026-02-26,NPL,9397.13,2114.35,0.775,Cerberus Capital
TRF000111,LN000633,2025-11-17,ABS,15000.0,12786.0,0.1476,Goldman Sachs ABS Trust
TRF000112,LN000637,2026-07-22,NPL,3413.59,365.94,0.8928,Lone Star Funds
TRF000113,LN000650,2026-06-11,NPL,15247.02,1988.21,0.8696,CarVal Investors
TRF000114,LN000651,2025-11-29,ABS,10000.0,8695.0,0.1305,JP Morgan Securitization
TRF000115,LN000658,2026-05-25,NPL,8543.67,1041.47,0.8781,Cerberus Capital
TRF000116,LN000668,2026-05-06,NPL,23130.71,2322.32,0.8996,Cerberus Capital
TRF000117,LN000674,2026-03-12,NPL,27485.43,3666.56,0.8666,Cerberus Capital
TRF000118,LN000686,2025-11-10,ABS,20000.0,16644.0,0.1678,JP Morgan Securitization
TRF000119,LN000699,2025-12-02,ABS,8000.0,6849.6,0.1438,Goldman Sachs ABS Trust
TRF000120,LN000711,2026-04-06,NPL,18557.74,1894.75,0.8979,Cerberus Capital
TRF000121,LN000716,2026-05-27,NPL,11490.53,1186.97,0.8967,Cerberus Capital
TRF000122,LN000718,2026-02-12,ABS,15000.0,13018.5,0.1321,JP Morgan Securitization
TRF000123,LN000727,2026-06-12,NPL,11385.49,2426.25,0.7869,Lone Star Funds
TRF000124,LN000729,2025-11-30,ABS,8000.0,6948.8,0.1314,Goldman Sachs ABS Trust
TRF000125,LN000733,2026-05-08,NPL,6882.07,1324.8,0.8075,Cerberus Capital
TRF000126,LN000743,2026-04-03,NPL,18257.34,4421.93,0.7578,CarVal Investors
TRF000127,LN000746,2026-01-14,ABS,5000.0,4464.5,0.1071,Goldman Sachs ABS Trust
TRF000128,LN000750,2025-11-12,ABS,30000.0,25488.0,0.1504,Goldman Sachs ABS Trust
TRF000129,LN000754,2026-02-24,ABS,30000.0,24519.0,0.1827,JP Morgan Securitization
TRF000130,LN000757,2025-11-16,ABS,30000.0,26040.0,0.132,Goldman Sachs ABS Trust
TRF000131,LN000760,2026-05-09,NPL,7198.03,1760.64,0.7554,Cerberus Capital
TRF000132,LN000787,2026-05-16,NPL,3595.95,478.62,0.8669,Cerberus Capital
TRF000133,LN000792,2026-06-13,NPL,6881.97,1469.99,0.7864,CarVal Investors
TRF000134,LN000801,2026-05-10,NPL,17871.56,3954.98,0.7787,CarVal Investors
TRF000135,LN000806,2026-06-11,NPL,4431.0,1203.46,0.7284,CarVal Investors
TRF000136,LN000807,2026-01-09,ABS,30000.0,25962.0,0.1346,Goldman Sachs ABS Trust
TRF000137,LN000836,2026-07-07,NPL,12629.94,3758.67,0.7024,Lone Star Funds
TRF000138,LN000863,2026-03-15,ABS,30000.0,25056.0,0.1648,JP Morgan Securitization
TRF000139,LN000874,2026-06-27,NPL,7148.09,1574.72,0.7797,CarVal Investors
TRF000140,LN000875,2026-07-07,NPL,4460.14,546.81,0.8774,Cerberus Capital
TRF000141,LN000876,2026-05-14,NPL,25924.35,4811.56,0.8144,CarVal Investors
TRF000142,LN000880,2026-06-17,NPL,6872.78,2047.4,0.7021,CarVal Investors
TRF000143,LN000900,2026-04-05,ABS,5000.0,4747.0,0.0506,JP Morgan Securitization
TRF000144,LN000907,2026-02-09,ABS,30000.0,25689.0,0.1437,JP Morgan Securitization
TRF000145,LN000910,2026-02-19,ABS,8000.0,7551.2,0.0561,Goldman Sachs ABS Trust
TRF000146,LN000954,2026-02-04,ABS,20000.0,16334.0,0.1833,JP Morgan Securitization
TRF000147,LN000958,2026-03-24,ABS,20000.0,16470.0,0.1765,JP Morgan Securitization
TRF000148,LN000965,2026-04-25,ABS,20000.0,18244.0,0.0878,JP Morgan Securitization
TRF000149,LN000968,2026-03-06,ABS,30000.0,24783.0,0.1739,JP Morgan Securitization
TRF000150,LN001016,2026-05-04,ABS,15000.0,13428.0,0.1048,Goldman Sachs ABS Trust
TRF000151,LN001143,2026-05-25,ABS,8000.0,6586.4,0.1767,Goldman Sachs ABS Trust
TRF000152,LN001175,2026-04-19,ABS,15000.0,12598.5,0.1601,Goldman Sachs ABS Trust
TRF000153,LN001192,2026-07-11,ABS,15000.0,13552.5,0.0965,Goldman Sachs ABS Trust
