repayment_transaction_id,loan_id,transaction_date,accounting_date,repayment_total_amount,repayment_principal,repayment_interest,payment_status
REPAY_LN000036_02,LN000036,2026-03-23,2026-03-23,2725.5,2500.0,225.5,successful
REPAY_LN000038_01,LN000038,2026-03-17,2026-03-17,439.95,277.78,162.17,successful
REPAY_LN000038_02,LN000038,2026-04-15,2026-04-15,439.95,277.78,162.17,successful
REPAY_LN000039_01,LN000039,2026-03-24,2026-03-24,683.55,416.67,266.88,successful
REPAY_LN000039_02,LN000039,2026-04-23,2026-04-23,683.55,416.67,266.88,successful
REPAY_LN000039_03,LN000039,2026-05-23,2026-05-23,683.55,416.67,266.88,successful
REPAY_LN000041_01,LN000041,2026-02-02,2026-02-02,174.14,138.89,35.25,successful
REPAY_LN000041_02,LN000041,2026-03-03,2026-03-03,174.14,138.89,35.25,successful
REPAY_LN000043_01,LN000043,2026-04-07,2026-04-07,1758.0,1250.0,508.0,successful
REPAY_LN000043_02,LN000043,2026-05-05,2026-05-05,1758.0,1250.0,508.0,successful
REPAY_LN000044_01,LN000044,2026-03-03,2026-03-03,2797.75,2500.0,297.75,successful
REPAY_LN000044_02,LN000044,2026-04-03,2026-04-03,2797.75,2500.0,297.75,successful
REPAY_LN000044_03,LN000044,2026-05-01,2026-05-01,2797.75,2500.0,297.75,successful
REPAY_LN000045_01,LN000045,2026-03-29,2026-03-29,305.57,277.78,27.79,successful
REPAY_LN000046_01,LN000046,2026-03-22,2026-03-22,840.12,625.0,215.12,successful
REPAY_LN000046_02,LN000046,2026-04-24,2026-04-24,840.12,625.0,215.12,successful
REPAY_LN000047_01,LN000047,2026-03-24,2026-03-24,2057.5,1666.67,390.83,successful
REPAY_LN000047_02,LN000047,2026-04-25,2026-04-25,2057.5,1666.67,390.83,successful
REPAY_LN000048_01,LN000048,2026-04-06,2026-04-06,271.62,222.22,49.4,successful
REPAY_LN000048_02,LN000048,2026-05-06,2026-05-06,271.62,222.22,49.4,successful
REPAY_LN000049_01,LN000049,2026-02-25,2026-02-25,1417.0,1250.0,167.0,successful
REPAY_LN000049_02,LN000049,2026-03-25,2026-03-25,1417.0,1250.0,167.0,successful
REPAY_LN000051_01,LN000051,2026-04-08,2026-04-08,1830.34,1666.67,163.67,successful
REPAY_LN000052_01,LN000052,2026-03-15,2026-03-15,1424.08,833.33,590.75,successful
REPAY_LN000052_02,LN000052,2026-04-16,2026-04-16,1424.08,833.33,590.75,successful
REPAY_LN000052_03,LN000052,2026-05-16,2026-05-16,1424.08,833.33,590.75,successful
REPAY_LN000054_01,LN000054,2026-04-10,2026-04-10,1409.25,1250.0,159.25,successful
REPAY_LN000054_02,LN000054,2026-05-11,2026-05-11,1409.25,1250.0,159.25,successful
REPAY_LN000056_01,LN000056,2026-03-06,2026-03-06,363.61,277.78,85.83,successful
REPAY_LN000058_01,LN000058,2026-02-01,2026-02-01,1455.26,1333.33,121.93,successful
REPAY_LN000058_02,LN000058,2026-03-02,2026-03-02,1455.26,1333.33,121.93,successful
REPAY_LN000058_03,LN000058,2026-04-03,2026-04-03,1455.26,1333.33,121.93,successful
REPAY_LN000059_01,LN000059,2026-04-15,2026-04-15,404.6,333.33,71.27,successful
REPAY_LN000059_02,LN000059,2026-05-16,2026-05-16,404.6,333.33,71.27,successful
REPAY_LN000059_03,LN000059,2026-06-16,2026-06-16,404.6,333.33,71.27,successful
REPAY_LN000060_01,LN000060,2026-03-01,2026-03-01,918.58,833.33,85.25,successful
REPAY_LN000060_02,LN000060,2026-03-29,2026-03-29,918.58,833.33,85.25,successful
REPAY_LN000060_03,LN000060,2026-04-29,2026-04-29,918.58,833.33,85.25,successful
REPAY_LN000061_01,LN000061,2026-02-26,2026-02-26,288.21,208.33,79.88,successful
REPAY_LN000061_02,LN000061,2026-03-25,2026-03-25,288.21,208.33,79.88,successful
REPAY_LN000061_03,LN000061,2026-04-25,2026-04-25,288.21,208.33,79.88,successful
REPAY_LN000062_01,LN000062,2026-02-23,2026-02-23,727.06,555.56,171.5,successful
REPAY_LN000062_02,LN000062,2026-03-24,2026-03-24,727.06,555.56,171.5,successful
REPAY_LN000063_01,LN000063,2026-02-19,2026-02-19,677.67,416.67,261.0,successful
REPAY_LN000065_01,LN000065,2026-04-10,2026-04-10,205.43,138.89,66.54,successful
REPAY_LN000067_01,LN000067,2026-03-05,2026-03-05,572.5,416.67,155.83,successful
REPAY_LN000067_02,LN000067,2026-04-04,2026-04-04,572.5,416.67,155.83,successful
REPAY_LN000067_03,LN000067,2026-05-05,2026-05-05,572.5,416.67,155.83,successful
REPAY_LN000068_01,LN000068,2026-02-16,2026-02-16,2965.5,2500.0,465.5,successful
REPAY_LN000068_02,LN000068,2026-03-17,2026-03-17,2965.5,2500.0,465.5,successful
REPAY_LN000070_01,LN000070,2026-04-12,2026-04-12,778.75,625.0,153.75,successful
REPAY_LN000071_01,LN000071,2026-03-25,2026-03-25,593.17,444.44,148.73,successful
REPAY_LN000071_02,LN000071,2026-04-23,2026-04-23,593.17,444.44,148.73,successful
REPAY_LN000072_01,LN000072,2026-02-21,2026-02-21,3680.16,3333.33,346.83,successful
REPAY_LN000072_02,LN000072,2026-03-21,2026-03-21,3680.16,3333.33,346.83,successful
REPAY_LN000073_01,LN000073,2026-04-06,2026-04-06,229.01,138.89,90.12,successful
REPAY_LN000074_01,LN000074,2026-03-15,2026-03-15,752.39,555.56,196.83,successful
REPAY_LN000076_01,LN000076,2026-02-05,2026-02-05,510.29,416.67,93.62,successful
REPAY_LN000077_01,LN000077,2026-03-01,2026-03-01,729.27,666.67,62.6,successful
REPAY_LN000079_01,LN000079,2026-03-04,2026-03-04,861.06,555.56,305.5,successful
REPAY_LN000079_02,LN000079,2026-04-03,2026-04-03,861.06,555.56,305.5,successful
REPAY_LN000081_01,LN000081,2026-03-04,2026-03-04,1491.8,1333.33,158.47,successful
REPAY_LN000081_02,LN000081,2026-04-04,2026-04-04,1491.8,1333.33,158.47,successful
REPAY_LN000081_03,LN000081,2026-05-03,2026-05-03,1491.8,1333.33,158.47,successful
REPAY_LN000082_01,LN000082,2026-04-05,2026-04-05,454.11,277.78,176.33,successful
REPAY_LN000082_02,LN000082,2026-05-04,2026-05-04,454.11,277.78,176.33,successful
REPAY_LN000082_03,LN000082,2026-06-04,2026-06-04,454.11,277.78,176.33,successful
REPAY_LN000083_01,LN000083,2026-02-22,2026-02-22,1294.58,833.33,461.25,successful
REPAY_LN000083_02,LN000083,2026-03-21,2026-03-21,1294.58,833.33,461.25,successful
REPAY_LN000083_03,LN000083,2026-04-21,2026-04-21,1294.58,833.33,461.25,successful
REPAY_LN000084_01,LN000084,2026-03-22,2026-03-22,2050.17,1666.67,383.5,successful
REPAY_LN000085_01,LN000085,2026-04-13,2026-04-13,507.92,416.67,91.25,successful
REPAY_LN000086_01,LN000086,2026-03-05,2026-03-05,544.24,444.44,99.8,successful
REPAY_LN000086_02,LN000086,2026-04-03,2026-04-03,544.24,444.44,99.8,successful
REPAY_LN000087_01,LN000087,2026-04-06,2026-04-06,1237.61,1111.11,126.5,successful
REPAY_LN000087_02,LN000087,2026-05-06,2026-05-06,1237.61,1111.11,126.5,successful
REPAY_LN000087_03,LN000087,2026-06-07,2026-06-07,1237.61,1111.11,126.5,successful
REPAY_LN000089_01,LN000089,2026-03-20,2026-03-20,2066.42,1666.67,399.75,successful
REPAY_LN000089_02,LN000089,2026-04-20,2026-04-20,2066.42,1666.67,399.75,successful
REPAY_LN000089_03,LN000089,2026-05-19,2026-05-19,2066.42,1666.67,399.75,successful
REPAY_LN000090_01,LN000090,2026-03-08,2026-03-08,1392.0,1250.0,142.0,successful
REPAY_LN000092_01,LN000092,2026-02-07,2026-02-07,1273.78,1111.11,162.67,successful
REPAY_LN000094_01,LN000094,2026-02-25,2026-02-25,960.58,833.33,127.25,successful
REPAY_LN000094_02,LN000094,2026-03-26,2026-03-26,960.58,833.33,127.25,successful
REPAY_LN000095_01,LN000095,2026-02-21,2026-02-21,295.62,222.22,73.4,successful
REPAY_LN000095_02,LN000095,2026-03-19,2026-03-19,295.62,222.22,73.4,successful
REPAY_LN000095_03,LN000095,2026-04-19,2026-04-19,295.62,222.22,73.4,successful
REPAY_LN000096_01,LN000096,2026-02-02,2026-02-02,1371.38,1250.0,121.38,successful
REPAY_LN000096_02,LN000096,2026-03-02,2026-03-02,1371.38,1250.0,121.38,successful
REPAY_LN000096_03,LN000096,2026-04-03,2026-04-03,1371.38,1250.0,121.38,successful
REPAY_LN000097_01,LN000097,2026-02-28,2026-02-28,338.86,277.78,61.08,successful
