loan_id,disbursement_id,customer_id,source_system,transaction_date,accounting_date,disbursement_amount,interest_rate,term_months,loan_status,region,validation_status,has_soft_warning
LN_NEW000058,DISB20260502000058,CUST000089,partner_platform,2026-05-02,2026-05-02,15000,0.1899,18,active,TX,accepted,False
LN_NEW000059,DISB20260504000059,CUST000104,internal_core,2026-05-04,2026-05-03,5000,0.1158,12,active,NY,accepted,False
LN_NEW000060,DISB20260501000060,CUST000014,internal_core,2026-05-01,2026-05-01,15000,0.1286,6,active,CA,accepted,False
LN_NEW000061,DISB20260501000061,CUST000110,internal_core,2026-05-01,2026-05-01,20000,0.2266,12,active,TX,accepted,False
LN_NEW000062,DISB20260502000062,CUST000005,partner_platform,2026-05-02,2026-05-02,20000,0.198,6,active,CA,accepted,False
LN_NEW000063,DISB20260510000063,CUST000018,internal_core,2026-05-10,2026-05-09,30000,0.1147,24,active,NY,accepted,False
LN_NEW000064,DISB20260506000064,CUST000104,partner_platform,2026-05-06,2026-05-06,5000,0.2389,36,active,FL,accepted,False
LN_NEW000065,DISB20260506000065,CUST000050,internal_core,2026-05-06,2026-05-06,10000,0.1249,12,active,FL,accepted,False
LN_NEW000066,DISB20260502000066,CUST000020,partner_platform,2026-05-02,2026-05-02,20000,0.1817,12,active,NY,accepted,False
LN_NEW000067,DISB20260509000067,CUST000110,partner_platform,2026-05-09,2026-05-09,15000,0.2293,12,active,WA,accepted,False
LN_NEW000068,DISB20260504000068,CUST000061,partner_platform,2026-05-04,2026-05-03,10000,0.1965,12,active,FL,accepted,False
LN_NEW000069,DISB20260508000069,CUST000096,internal_core,2026-05-08,2026-05-08,10000,0.2369,18,active,TX,accepted,False
LN_NEW000070,DISB20260508000070,CUST000105,internal_core,2026-05-08,2026-05-08,5000,0.2093,18,active,NY,accepted,False
LN_NEW000071,DISB20260510000071,CUST000056,partner_platform,2026-05-10,2026-05-10,8000,0.1355,12,active,WA,accepted,False
LN_NEW000072,DISB20260510000072,CUST000082,partner_platform,2026-05-10,2026-05-10,5000,0.1476,12,active,WA,accepted,False
LN_NEW000073,DISB20260503000073,CUST000010,internal_core,2026-05-03,2026-05-03,10000,0.2027,36,active,WA,accepted,False
LN_NEW000074,DISB20260507000074,CUST000089,internal_core,2026-05-07,2026-05-07,20000,0.2131,12,active,FL,accepted,False
LN_NEW000075,DISB20260502000075,CUST000083,partner_platform,2026-05-02,2026-05-02,15000,0.146,18,active,WA,accepted,False
LN_NEW000076,DISB20260503000076,CUST000035,internal_core,2026-05-03,2026-05-03,8000,0.1986,18,active,WA,accepted,False
LN_NEW000077,DISB20260502000077,CUST000117,internal_core,2026-05-02,2026-05-02,10000,0.2156,6,active,WA,accepted,False
LN_NEW000078,DISB20260507000078,CUST000052,partner_platform,2026-05-07,2026-05-07,5000,0.1581,24,active,FL,accepted,False
LN_NEW000079,DISB20260508000079,CUST000106,partner_platform,2026-05-08,2026-05-08,5000,0.0687,36,active,WA,accepted,False
LN_NEW000080,DISB20260503000080,CUST000079,partner_platform,2026-05-03,2026-05-03,10000,0.0782,12,active,TX,accepted,False
LN_NEW000081,DISB20260503000081,CUST000063,partner_platform,2026-05-03,2026-05-02,15000,0.1984,6,active,CA,accepted,False
LN_NEW000082,DISB20260506000082,CUST000068,partner_platform,2026-05-06,2026-05-06,30000,0.1557,6,active,WA,accepted,False
LN_NEW000083,DISB20260510000083,CUST000104,internal_core,2026-05-10,2026-05-10,10000,0.1902,18,active,WA,accepted,False
LN_NEW000084,DISB20260501000084,CUST000086,internal_core,2026-05-01,2026-05-01,20000,0.2296,6,active,CA,accepted,False
LN_NEW000085,DISB20260509000085,CUST000046,partner_platform,2026-05-09,2026-05-08,20000,0.2261,36,active,WA,accepted,False
LN_NEW000086,DISB20260504000086,CUST000003,partner_platform,2026-05-04,2026-05-04,20000,0.0719,18,active,CA,accepted,False
LN_NEW000087,DISB20260510000087,CUST000119,internal_core,2026-05-10,2026-05-10,15000,0.233,24,active,CA,accepted,False
LN_NEW000088,DISB20260510000088,CUST000071,partner_platform,2026-05-10,2026-05-09,30000,0.219,18,active,FL,accepted,False
LN_NEW000089,DISB20260508000089,CUST000034,partner_platform,2026-05-08,2026-05-08,10000,0.1969,12,active,NY,accepted,False
LN_NEW000090,DISB20260508000090,CUST000007,internal_core,2026-05-08,2026-05-08,15000,0.0946,24,active,NY,accepted,False
LN_NEW000091,DISB20260504000091,CUST000069,internal_core,2026-05-04,2026-05-04,15000,0.2101,12,active,WA,accepted,False
LN_NEW000092,DISB20260506000092,CUST000090,partner_platform,2026-05-06,2026-05-06,20000,0.1342,36,active,CA,accepted,False
LN_NEW000093,DISB20260501000093,CUST000075,internal_core,2026-05-01,2026-05-01,20000,0.1686,6,active,CA,accepted,False
LN_NEW000094,DISB20260510000094,CUST000090,internal_core,2026-05-10,2026-05-10,30000,0.1435,12,active,CA,accepted,False
LN_NEW000095,DISB20260509000095,CUST000041,partner_platform,2026-05-09,2026-05-09,30000,0.2128,18,active,FL,accepted,False
LN_NEW000096,DISB20260502000096,CUST000008,internal_core,2026-05-02,2026-05-02,8000,0.2043,24,active,NY,accepted,False
LN_NEW000097,DISB20260507000097,CUST000089,partner_platform,2026-05-07,2026-05-06,5000,0.1337,36,active,NY,accepted,False
LN_NEW000098,DISB20260502000098,CUST000067,internal_core,2026-05-02,2026-05-02,8000,0.2168,36,active,CA,accepted,False
LN_NEW000099,DISB20260508000099,CUST000075,internal_core,2026-05-08,2026-05-08,20000,0.1433,6,active,TX,accepted,False
LN_NEW000100,DISB20260501000100,CUST000113,internal_core,2026-05-01,2026-05-01,15000,0.2195,24,active,FL,accepted,False
